datetime,adj_close,adj_close.1,adj_close.2,close,close.1,close.2,high,high.1,high.2,low,low.1,low.2,open,open.1,open.2,volume,volume.1,volume.2,symbol,month
2025-10-01 03:45:00+00:00,1544.300048828125,459.5,,1544.300048828125,459.5,,1544.300048828125,459.8999938964844,,1536.0999755859375,459.5,,1536.0999755859375,459.8999938964844,,0.0,0.0,,NIPPOBATRY,2025-10
2025-10-01 03:50:00+00:00,1546.699951171875,456.2000122070313,,1546.699951171875,456.2000122070313,,1551.300048828125,456.2000122070313,,1546.699951171875,456.2000122070313,,1551.300048828125,456.2000122070313,,5.0,0.0,,NIPPOBATRY,2025-10
2025-10-01 03:55:00+00:00,,,306.1000061035156,,,306.1000061035156,,,306.1000061035156,,,306.1000061035156,,,306.1000061035156,,,0.0,NIPPOBATRY,2025-10
2025-10-01 04:00:00+00:00,1554.5,,,1554.5,,,1554.5,,,1554.5,,,1554.5,,,0.0,,,NIPPOBATRY,2025-10
2025-10-01 04:05:00+00:00,1544.0,456.6499938964844,330.0,1544.0,456.6499938964844,330.0,1553.699951171875,458.0,330.0,1544.0,456.6499938964844,310.3999938964844,1550.5,457.8999938964844,310.3999938964844,39.0,9.0,34.0,NIPPOBATRY,2025-10
2025-10-01 04:10:00+00:00,,455.0,,,455.0,,,455.0,,,455.0,,,455.0,,,70.0,,NIPPOBATRY,2025-10
2025-10-01 04:20:00+00:00,1544.0,,,1544.0,,,1544.0,,,1543.699951171875,,,1543.699951171875,,,67.0,,,NIPPOBATRY,2025-10
2025-10-01 04:25:00+00:00,,452.2000122070313,,,452.2000122070313,,,452.2000122070313,,,452.2000122070313,,,452.2000122070313,,,6.0,,NIPPOBATRY,2025-10
2025-10-01 04:30:00+00:00,1543.699951171875,,,1543.699951171875,,,1543.699951171875,,,1543.699951171875,,,1543.699951171875,,,0.0,,,NIPPOBATRY,2025-10
2025-10-01 04:35:00+00:00,1540.0999755859375,451.8999938964844,,1540.0999755859375,451.8999938964844,,1543.699951171875,451.8999938964844,,1540.0999755859375,451.1000061035156,,1543.699951171875,451.1000061035156,,32.0,26.0,,NIPPOBATRY,2025-10
2025-10-01 04:40:00+00:00,1540.199951171875,452.0,,1540.199951171875,452.0,,1540.199951171875,452.0,,1540.0999755859375,452.0,,1540.0999755859375,452.0,,0.0,10.0,,NIPPOBATRY,2025-10
2025-10-01 04:45:00+00:00,1543.800048828125,451.1000061035156,,1543.800048828125,451.1000061035156,,1543.800048828125,451.1000061035156,,1543.800048828125,451.1000061035156,,1543.800048828125,451.1000061035156,,1.0,4.0,,NIPPOBATRY,2025-10
2025-10-01 04:50:00+00:00,1547.699951171875,,,1547.699951171875,,,1547.699951171875,,,1544.9000244140625,,,1544.9000244140625,,,26.0,,,NIPPOBATRY,2025-10
2025-10-01 04:55:00+00:00,1549.800048828125,,,1549.800048828125,,,1549.9000244140625,,,1549.800048828125,,,1549.800048828125,,,3.0,,,NIPPOBATRY,2025-10
2025-10-01 05:00:00+00:00,1549.4000244140625,453.0,,1549.4000244140625,453.0,,1549.4000244140625,453.0,,1547.300048828125,453.0,,1547.300048828125,453.0,,2.0,4.0,,NIPPOBATRY,2025-10
2025-10-01 05:05:00+00:00,1549.800048828125,,,1549.800048828125,,,1550.0,,,1549.800048828125,,,1550.0,,,113.0,,,NIPPOBATRY,2025-10
2025-10-01 05:10:00+00:00,1547.199951171875,,,1547.199951171875,,,1547.199951171875,,,1547.199951171875,,,1547.199951171875,,,0.0,,,NIPPOBATRY,2025-10
2025-10-01 05:15:00+00:00,1547.0999755859375,448.6499938964844,,1547.0999755859375,448.6499938964844,,1549.5999755859375,449.75,,1547.0999755859375,448.1499938964844,,1549.5999755859375,449.75,,8.0,242.0,,NIPPOBATRY,2025-10
2025-10-01 05:20:00+00:00,1547.0999755859375,445.1000061035156,,1547.0999755859375,445.1000061035156,,1547.0999755859375,448.1000061035156,,1547.0999755859375,445.1000061035156,,1547.0999755859375,448.1000061035156,,25.0,114.0,,NIPPOBATRY,2025-10
2025-10-01 05:25:00+00:00,,447.0,,,447.0,,,447.0,,,446.6000061035156,,,446.6000061035156,,,11.0,,NIPPOBATRY,2025-10
2025-10-01 05:30:00+00:00,1547.0999755859375,447.6499938964844,,1547.0999755859375,447.6499938964844,,1547.0999755859375,447.6499938964844,,1547.0999755859375,447.4500122070313,,1547.0999755859375,447.4500122070313,,1.0,2.0,,NIPPOBATRY,2025-10
2025-10-01 05:35:00+00:00,,447.4500122070313,330.0,,447.4500122070313,330.0,,447.4500122070313,330.0,,447.4500122070313,330.0,,447.4500122070313,330.0,,45.0,10.0,NIPPOBATRY,2025-10
2025-10-01 05:40:00+00:00,1547.0999755859375,,330.0,1547.0999755859375,,330.0,1547.0999755859375,,330.0,1547.0999755859375,,330.0,1547.0999755859375,,330.0,42.0,,0.0,NIPPOBATRY,2025-10
2025-10-01 05:45:00+00:00,1547.0999755859375,449.2999877929688,,1547.0999755859375,449.2999877929688,,1547.0999755859375,449.2999877929688,,1547.0999755859375,449.2999877929688,,1547.0999755859375,449.2999877929688,,0.0,12.0,,NIPPOBATRY,2025-10
2025-10-01 05:50:00+00:00,1549.9000244140625,449.2999877929688,322.0,1549.9000244140625,449.2999877929688,322.0,1549.9000244140625,449.2999877929688,322.0,1547.199951171875,449.2999877929688,322.0,1547.199951171875,449.2999877929688,322.0,14.0,0.0,175.0,NIPPOBATRY,2025-10
2025-10-01 05:55:00+00:00,1549.800048828125,,,1549.800048828125,,,1549.800048828125,,,1549.5999755859375,,,1549.5999755859375,,,1.0,,,NIPPOBATRY,2025-10
2025-10-01 06:00:00+00:00,1550.0,,,1550.0,,,1550.0,,,1550.0,,,1550.0,,,4.0,,,NIPPOBATRY,2025-10
2025-10-01 06:05:00+00:00,1550.0,,,1550.0,,,1550.0,,,1550.0,,,1550.0,,,90.0,,,NIPPOBATRY,2025-10
2025-10-01 06:10:00+00:00,1549.800048828125,,,1549.800048828125,,,1549.800048828125,,,1549.800048828125,,,1549.800048828125,,,0.0,,,NIPPOBATRY,2025-10
2025-10-01 06:15:00+00:00,1549.0999755859375,449.2999877929688,,1549.0999755859375,449.2999877929688,,1550.0,449.2999877929688,,1549.0999755859375,449.2999877929688,,1550.0,449.2999877929688,,15.0,20.0,,NIPPOBATRY,2025-10
2025-10-01 06:20:00+00:00,1550.0,448.8999938964844,,1550.0,448.8999938964844,,1550.0,448.8999938964844,,1550.0,448.8999938964844,,1550.0,448.8999938964844,,33.0,50.0,,NIPPOBATRY,2025-10
2025-10-01 06:25:00+00:00,,448.8999938964844,,,448.8999938964844,,,448.8999938964844,,,448.8999938964844,,,448.8999938964844,,,0.0,,NIPPOBATRY,2025-10
2025-10-01 06:30:00+00:00,1551.199951171875,448.9500122070313,,1551.199951171875,448.9500122070313,,1552.0999755859375,448.9500122070313,,1550.5,448.9500122070313,,1550.5,448.9500122070313,,8.0,0.0,,NIPPOBATRY,2025-10
2025-10-01 06:40:00+00:00,1550.5999755859375,449.2999877929688,,1550.5999755859375,449.2999877929688,,1550.5999755859375,449.2999877929688,,1550.5999755859375,449.2999877929688,,1550.5999755859375,449.2999877929688,,2.0,35.0,,NIPPOBATRY,2025-10
2025-10-01 06:45:00+00:00,1554.9000244140625,448.0,,1554.9000244140625,448.0,,1554.9000244140625,448.0,,1552.9000244140625,448.0,,1552.9000244140625,448.0,,8.0,4.0,,NIPPOBATRY,2025-10
2025-10-01 06:50:00+00:00,1555.0,448.9500122070313,322.0,1555.0,448.9500122070313,322.0,1555.0,448.9500122070313,322.0,1555.0,448.0,322.0,1555.0,448.0,322.0,2.0,37.0,25.0,NIPPOBATRY,2025-10
2025-10-01 06:55:00+00:00,,448.8500061035156,,,448.8500061035156,,,448.8500061035156,,,448.8500061035156,,,448.8500061035156,,,0.0,,NIPPOBATRY,2025-10
2025-10-01 07:00:00+00:00,1556.800048828125,,,1556.800048828125,,,1557.5,,,1555.0,,,1555.0,,,30.0,,,NIPPOBATRY,2025-10
2025-10-01 07:05:00+00:00,,,322.0,,,322.0,,,322.0,,,322.0,,,322.0,,,1.0,NIPPOBATRY,2025-10
2025-10-01 07:10:00+00:00,1551.0999755859375,449.2000122070313,,1551.0999755859375,449.2000122070313,,1553.300048828125,449.2000122070313,,1551.0999755859375,449.2000122070313,,1553.199951171875,449.2000122070313,,30.0,2.0,,NIPPOBATRY,2025-10
2025-10-01 07:15:00+00:00,1552.0,,,1552.0,,,1552.0,,,1552.0,,,1552.0,,,0.0,,,NIPPOBATRY,2025-10
2025-10-01 07:20:00+00:00,,451.6499938964844,,,451.6499938964844,,,451.6499938964844,,,451.6499938964844,,,451.6499938964844,,,1061.0,,NIPPOBATRY,2025-10
2025-10-01 07:30:00+00:00,1553.5,,,1553.5,,,1553.5,,,1553.5,,,1553.5,,,2.0,,,NIPPOBATRY,2025-10
2025-10-01 07:40:00+00:00,1552.0999755859375,448.0499877929688,,1552.0999755859375,448.0499877929688,,1558.800048828125,448.0499877929688,,1551.0999755859375,448.0499877929688,,1551.0999755859375,448.0499877929688,,89.0,18.0,,NIPPOBATRY,2025-10
2025-10-01 07:55:00+00:00,1554.0,,,1554.0,,,1554.0,,,1554.0,,,1554.0,,,4.0,,,NIPPOBATRY,2025-10
2025-10-01 08:00:00+00:00,1555.0,,,1555.0,,,1555.0,,,1555.0,,,1555.0,,,2.0,,,NIPPOBATRY,2025-10
