symbol,rec_date,event_type,event_date,price,note
ASAHIINDIA,2025-10-20,TARGET_HIT,2025-10-20,927.9500122070312,
ASALCBR,2025-10-20,TARGET_HIT,2025-10-20,1028.949951171875,
ASIANHOTNR,2025-10-20,TARGET_HIT,2025-10-20,336.75,
ASIANPAINT,2025-10-20,TARGET_HIT,2025-10-20,2518.60009765625,
ASIANTILES,2025-10-20,TARGET_HIT,2025-10-20,63.150001525878906,
ATALREAL,2025-10-20,TARGET_HIT,2025-10-20,24.07999992370605,
ATHERENERG,2025-10-20,TARGET_HIT,2025-10-20,707.4000244140625,
AUBANK,2025-10-20,TARGET_HIT,2025-10-20,865.75,
AURUM,2025-10-20,TARGET_HIT,2025-10-20,180.97999572753903,
AUSOMENT,2025-10-20,TARGET_HIT,2025-10-20,103.9000015258789,
AXISBANK,2025-10-20,TARGET_HIT,2025-10-20,1229.5999755859375,
AXITA,2025-10-20,TARGET_HIT,2025-10-20,8.460000038146973,
BAJAJCON,2025-10-20,TARGET_HIT,2025-10-20,268.42999267578125,
BAJAJFINSV,2025-10-20,TARGET_HIT,2025-10-20,2146.0,
BAJFINANCE,2025-10-20,TARGET_HIT,2025-10-20,1084.449951171875,
BANKA,2025-10-20,TARGET_HIT,2025-10-20,88.05999755859375,
BANKINDIA,2025-10-20,TARGET_HIT,2025-10-20,129.80999755859375,
BBTC,2025-10-20,TARGET_HIT,2025-10-20,2041.0,
BECTORFOOD,2025-10-20,TARGET_HIT,2025-10-20,1316.5,
BEL,2025-10-20,TARGET_HIT,2025-10-20,416.75,
BELLACASA,2025-10-20,TARGET_HIT,2025-10-20,460.4500122070313,
BEML,2025-10-20,TARGET_HIT,2025-10-20,4348.7998046875,
BERGEPAINT,2025-10-20,TARGET_HIT,2025-10-20,541.5499877929688,
BFINVEST,2025-10-20,TARGET_HIT,2025-10-20,484.0,
BGRENERGY,2025-10-20,TARGET_HIT,2025-10-20,423.989990234375,
BHAGERIA,2025-10-20,TARGET_HIT,2025-10-20,192.009994506836,
BHARATFORG,2025-10-20,TARGET_HIT,2025-10-20,1246.0,
BHARATSE,2025-10-20,TARGET_HIT,2025-10-20,226.4499969482422,
BHARATWIRE,2025-10-20,TARGET_HIT,2025-10-20,173.1999969482422,
BHARTIARTL,2025-10-20,TARGET_HIT,2025-10-20,2051.0,
BHARTIHEXA,2025-10-20,TARGET_HIT,2025-10-20,1803.5999755859373,
BORANA,2025-10-20,TARGET_HIT,2025-10-20,220.58999633789065,
BORORENEW,2025-10-20,TARGET_HIT,2025-10-20,665.75,
BOSCHLTD,2025-10-20,TARGET_HIT,2025-10-20,39320.0,
BRIGADE,2025-10-20,TARGET_HIT,2025-10-20,984.2999877929688,
BRITANNIA,2025-10-20,TARGET_HIT,2025-10-20,6112.5,
BSE,2025-10-20,TARGET_HIT,2025-10-20,2491.89990234375,
BSL,2025-10-20,TARGET_HIT,2025-10-20,182.17999267578125,
CANFINHOME,2025-10-20,TARGET_HIT,2025-10-20,843.6500244140625,
CARRARO,2025-10-20,TARGET_HIT,2025-10-20,506.1000061035156,
CARTRADE,2025-10-20,TARGET_HIT,2025-10-20,2480.800048828125,
CEATLTD,2025-10-20,TARGET_HIT,2025-10-20,4092.89990234375,
CENTRALBK,2025-10-20,TARGET_HIT,2025-10-20,39.0099983215332,
CEREBRAINT,2025-10-20,TARGET_HIT,2025-10-20,9.350000381469728,
CESC,2025-10-20,TARGET_HIT,2025-10-20,174.6999969482422,
CGCL,2025-10-20,TARGET_HIT,2025-10-20,190.3500061035156,
CHOLAFIN,2025-10-20,TARGET_HIT,2025-10-20,1669.199951171875,
CIEINDIA,2025-10-20,TARGET_HIT,2025-10-20,437.25,
CINEVISTA,2025-10-20,TARGET_HIT,2025-10-20,19.0,
CIPLA,2025-10-20,TARGET_HIT,2025-10-20,1628.5,
COASTCORP,2025-10-20,TARGET_HIT,2025-10-20,37.09999847412109,
CREATIVEYE,2025-10-20,TARGET_HIT,2025-10-20,7.590000152587891,
CRIZAC,2025-10-20,TARGET_HIT,2025-10-20,318.5,
CSBBANK,2025-10-20,TARGET_HIT,2025-10-20,420.7000122070313,
CTE,2025-10-20,TARGET_HIT,2025-10-20,50.959999084472656,
CUB,2025-10-20,TARGET_HIT,2025-10-20,230.77999877929688,
CUMMINSIND,2025-10-20,TARGET_HIT,2025-10-20,4024.10009765625,
CUPID,2025-10-20,TARGET_HIT,2025-10-20,251.4900054931641,
DANGEE,2025-10-20,TARGET_HIT,2025-10-20,4.400000095367432,
DCBBANK,2025-10-20,TARGET_HIT,2025-10-20,145.9199981689453,
DCMSHRIRAM,2025-10-20,TARGET_HIT,2025-10-20,1236.300048828125,
DHANBANK,2025-10-20,TARGET_HIT,2025-10-20,26.32999992370605,
DIAMONDYD,2025-10-20,TARGET_HIT,2025-10-20,1045.0999755859375,
DIVISLAB,2025-10-20,TARGET_HIT,2025-10-20,6594.5,
DYNAMATECH,2025-10-20,TARGET_HIT,2025-10-20,7982.5,
EASTSILK,2025-10-20,TARGET_HIT,2025-10-20,63.540000915527344,
ECLERX,2025-10-20,TARGET_HIT,2025-10-20,4245.7998046875,
EICHERMOT,2025-10-20,TARGET_HIT,2025-10-20,7015.5,
ELDEHSG,2025-10-20,TARGET_HIT,2025-10-20,859.8499755859375,
ENERGYDEV,2025-10-20,TARGET_HIT,2025-10-20,19.950000762939453,
ETERNAL,2025-10-20,TARGET_HIT,2025-10-20,338.3999938964844,
ETHOSLTD,2025-10-20,TARGET_HIT,2025-10-20,2907.89990234375,
FEDERALBNK,2025-10-20,TARGET_HIT,2025-10-20,228.25,
FINOPB,2025-10-20,TARGET_HIT,2025-10-20,327.0,
FIVESTAR,2025-10-20,TARGET_HIT,2025-10-20,535.8499755859375,
FOCUS,2025-10-20,TARGET_HIT,2025-10-20,89.4000015258789,
FORTIS,2025-10-20,TARGET_HIT,2025-10-20,1095.550048828125,
GANGAFORGE,2025-10-20,TARGET_HIT,2025-10-20,3.7100000381469727,
GANGESSECU,2025-10-20,TARGET_HIT,2025-10-20,157.0,
GATEWAY,2025-10-20,TARGET_HIT,2025-10-20,62.720001220703125,
GENESYS,2025-10-20,TARGET_HIT,2025-10-20,554.0499877929688,
GFLLIMITED,2025-10-20,TARGET_HIT,2025-10-20,71.13999938964844,
GHCL,2025-10-20,TARGET_HIT,2025-10-20,651.0999755859375,
GICRE,2025-10-20,TARGET_HIT,2025-10-20,387.5,
GILLANDERS,2025-10-20,TARGET_HIT,2025-10-20,123.9000015258789,
GINNIFILA,2025-10-20,TARGET_HIT,2025-10-20,47.150001525878906,
GKWLIMITED,2025-10-20,TARGET_HIT,2025-10-20,1749.0,
GLFL,2025-10-20,TARGET_HIT,2025-10-20,6.760000228881836,
GLOBALVECT,2025-10-20,TARGET_HIT,2025-10-20,231.1100006103516,
GLOBECIVIL,2025-10-20,TARGET_HIT,2025-10-20,74.68000030517578,
GLOBUSSPR,2025-10-20,TARGET_HIT,2025-10-20,1111.800048828125,
GMBREW,2025-10-20,TARGET_HIT,2025-10-20,1152.6500244140625,
GMMPFAUDLR,2025-10-20,TARGET_HIT,2025-10-20,1152.5999755859375,
GODAVARIB,2025-10-20,TARGET_HIT,2025-10-20,259.04998779296875,
GODIGIT,2025-10-20,TARGET_HIT,2025-10-20,353.45001220703125,
GODREJPROP,2025-10-20,TARGET_HIT,2025-10-20,2285.39990234375,
GOENKA,2025-10-20,TARGET_HIT,2025-10-20,1.2599999904632568,
GRASIM,2025-10-20,TARGET_HIT,2025-10-20,2859.89990234375,
GRPLTD,2025-10-20,TARGET_HIT,2025-10-20,2204.0,
GSLSU,2025-10-20,TARGET_HIT,2025-10-20,105.51000213623048,
GUJRAFFIA,2025-10-20,TARGET_HIT,2025-10-20,71.08000183105469,
GUJTHEM,2025-10-20,TARGET_HIT,2025-10-20,443.0499877929688,
HAL,2025-10-20,TARGET_HIT,2025-10-20,4864.2998046875,
HAVISHA,2025-10-20,TARGET_HIT,2025-10-20,2.140000104904175,
HBLENGINE,2025-10-20,TARGET_HIT,2025-10-20,945.9000244140624,
HCG,2025-10-20,TARGET_HIT,2025-10-20,732.0,
HDFCAMC,2025-10-20,TARGET_HIT,2025-10-20,5734.0,
HDFCBANK,2025-10-20,TARGET_HIT,2025-10-20,1005.1500244140624,
HFCL,2025-10-20,TARGET_HIT,2025-10-20,75.87000274658203,
HINDCOMPOS,2025-10-20,TARGET_HIT,2025-10-20,480.0,
HINDUNILVR,2025-10-20,TARGET_HIT,2025-10-20,2604.199951171875,
HINDWAREAP,2025-10-20,TARGET_HIT,2025-10-20,372.4500122070313,
HSCL,2025-10-20,TARGET_HIT,2025-10-20,460.8500061035156,
HUHTAMAKI,2025-10-20,TARGET_HIT,2025-10-20,262.9700012207031,
HYBRIDFIN,2025-10-20,TARGET_HIT,2025-10-20,27.51000022888184,
ICICIBANK,2025-10-20,TARGET_HIT,2025-10-20,1401.699951171875,
ICICIGI,2025-10-20,TARGET_HIT,2025-10-20,2006.699951171875,
IDBI,2025-10-20,TARGET_HIT,2025-10-20,94.63999938964844,
IDFCFIRSTB,2025-10-20,TARGET_HIT,2025-10-20,76.61000061035156,
IEL,2025-10-20,TARGET_HIT,2025-10-20,19.5,
IFBAGRO,2025-10-20,TARGET_HIT,2025-10-20,1027.949951171875,
IFBIND,2025-10-20,TARGET_HIT,2025-10-20,1780.0,
IIFLCAPS,2025-10-20,TARGET_HIT,2025-10-20,342.0,
INDIAGLYCO,2025-10-20,TARGET_HIT,2025-10-20,994.5999755859376,
INDIANB,2025-10-20,TARGET_HIT,2025-10-20,814.7999877929688,
INDIGO,2025-10-20,TARGET_HIT,2025-10-20,5933.5,
INDOFARM,2025-10-20,TARGET_HIT,2025-10-20,251.8099975585937,
INDORAMA,2025-10-20,TARGET_HIT,2025-10-20,69.5,
INDOTHAI,2025-10-20,TARGET_HIT,2025-10-20,451.9500122070313,
INDUSINDBK,2025-10-20,TARGET_HIT,2025-10-20,765.0,
INFOMEDIA,2025-10-17,TARGET_HIT,2025-10-17,8.050000190734863,
INOXGREEN,2025-10-20,TARGET_HIT,2025-10-20,253.6000061035156,
IOB,2025-10-20,TARGET_HIT,2025-10-20,40.47999954223633,
ITC,2025-10-20,TARGET_HIT,2025-10-20,412.6000061035156,
ITI,2025-10-20,TARGET_HIT,2025-10-20,331.8500061035156,
IXIGO,2025-10-20,TARGET_HIT,2025-10-20,330.3999938964844,
J&KBANK,2025-10-20,TARGET_HIT,2025-10-20,108.2300033569336,
JHS,2025-10-20,TARGET_HIT,2025-10-20,12.880000114440918,
JKTYRE,2025-10-20,TARGET_HIT,2025-10-20,417.5,
JLHL,2025-10-20,TARGET_HIT,2025-10-20,1566.0,
JMFINANCIL,2025-10-20,TARGET_HIT,2025-10-20,174.49000549316406,
JPOLYINVST,2025-10-20,TARGET_HIT,2025-10-20,1021.9500122070312,
JSL,2025-10-20,TARGET_HIT,2025-10-20,791.6500244140625,
JUBLCPL,2025-10-20,TARGET_HIT,2025-10-20,2450.0,
KAJARIACER,2025-10-20,TARGET_HIT,2025-10-20,1232.0999755859375,
KALPATARU,2025-10-20,TARGET_HIT,2025-10-20,392.2999877929688,
KANSAINER,2025-10-20,TARGET_HIT,2025-10-20,252.47999572753903,
KAPSTON,2025-10-20,TARGET_HIT,2025-10-20,249.5,
KARURVYSYA,2025-10-20,TARGET_HIT,2025-10-20,239.27999877929688,
KEEPLEARN,2025-10-20,TARGET_HIT,2025-10-20,2.8499999046325684,
KEI,2025-10-20,TARGET_HIT,2025-10-20,4151.60009765625,
KERNEX,2025-10-20,TARGET_HIT,2025-10-20,1319.5999755859375,
KICL,2025-10-20,TARGET_HIT,2025-10-20,5642.7998046875,
KILITCH,2025-10-20,TARGET_HIT,2025-10-20,368.9500122070313,
KINGFA,2025-10-20,TARGET_HIT,2025-10-20,4601.10009765625,
KOTAKBANK,2025-10-20,TARGET_HIT,2025-10-20,2206.39990234375,
KPIGREEN,2025-10-20,TARGET_HIT,2025-10-20,493.9500122070313,
KPIL,2025-10-20,TARGET_HIT,2025-10-20,1276.5999755859375,
KRISHIVAL,2025-10-20,TARGET_HIT,2025-10-20,489.0,
KSOLVES,2025-10-20,TARGET_HIT,2025-10-20,325.95001220703125,
KTKBANK,2025-10-20,TARGET_HIT,2025-10-20,180.9900054931641,
LATTEYS,2025-10-20,TARGET_HIT,2025-10-20,27.0,
LORDSCHLO,2025-10-20,TARGET_HIT,2025-10-20,221.0,
LT,2025-10-20,TARGET_HIT,2025-10-20,3870.60009765625,
LTF,2025-10-20,TARGET_HIT,2025-10-20,267.5799865722656,
LTIM,2025-10-20,TARGET_HIT,2025-10-20,5624.5,
M&M,2025-10-20,TARGET_HIT,2025-10-20,3607.5,
M&MFIN,2025-10-20,TARGET_HIT,2025-10-20,298.0,
MAHABANK,2025-10-20,TARGET_HIT,2025-10-20,59.709999084472656,
MAHASTEEL,2025-10-20,TARGET_HIT,2025-10-20,569.0,
MAHLIFE,2025-10-20,TARGET_HIT,2025-10-20,385.6499938964844,
MAHLOG,2025-10-20,TARGET_HIT,2025-10-20,364.3999938964844,
MANAKCOAT,2025-10-20,TARGET_HIT,2025-10-20,152.82000732421875,
MANALIPETC,2025-10-20,TARGET_HIT,2025-10-20,71.01000213623047,
MANGLMCEM,2025-10-20,TARGET_HIT,2025-10-20,748.9000244140625,
MANOMAY,2025-10-20,TARGET_HIT,2025-10-20,204.9199981689453,
MANORAMA,2025-10-20,TARGET_HIT,2025-10-20,1474.0999755859375,
MARICO,2025-10-20,TARGET_HIT,2025-10-20,728.9500122070312,
MARINE,2025-10-20,TARGET_HIT,2025-10-20,224.5399932861328,
MARUTI,2025-10-20,TARGET_HIT,2025-10-20,16421.0,
MASKINVEST,2025-10-20,TARGET_HIT,2025-10-20,204.0,
MAXHEALTH,2025-10-20,TARGET_HIT,2025-10-20,1206.800048828125,
MAXIND,2025-10-20,TARGET_HIT,2025-10-20,223.77999877929688,
MBEL,2025-10-20,TARGET_HIT,2025-10-20,439.1499938964844,
MCLEODRUSS,2025-10-20,TARGET_HIT,2025-10-20,60.900001525878906,
MCX,2025-10-20,TARGET_HIT,2025-10-20,9126.5,
MEDANTA,2025-10-20,TARGET_HIT,2025-10-20,1393.0,
MEDIASSIST,2025-10-20,TARGET_HIT,2025-10-20,544.9000244140625,
MEGASTAR,2025-10-20,TARGET_HIT,2025-10-20,226.0,
MEP,2025-10-20,TARGET_HIT,2025-10-20,2.319999933242798,
MINDTECK,2025-10-20,TARGET_HIT,2025-10-20,294.9800109863281,
MOLDTECH,2025-10-20,TARGET_HIT,2025-10-20,198.33999633789065,
MONTECARLO,2025-10-20,TARGET_HIT,2025-10-20,698.7000122070312,
MOTILALOFS,2025-10-20,TARGET_HIT,2025-10-20,1018.2000122070312,
MPSLTD,2025-10-20,TARGET_HIT,2025-10-20,2319.0,
MRPL,2025-10-20,TARGET_HIT,2025-10-20,150.17999267578125,
MTARTECH,2025-10-20,TARGET_HIT,2025-10-20,2201.199951171875,
MTEDUCARE,2025-10-20,TARGET_HIT,2025-10-20,2.180000066757202,
MUFIN,2025-10-20,TARGET_HIT,2025-10-20,98.91999816894533,
MUTHOOTFIN,2025-10-20,TARGET_HIT,2025-10-20,3307.5,
NAHARINDUS,2025-10-20,TARGET_HIT,2025-10-20,115.5,
NAM-INDIA,2025-10-20,TARGET_HIT,2025-10-20,941.0999755859376,
NAVINFLUOR,2025-10-20,TARGET_HIT,2025-10-20,5140.7001953125,
NDGL,2025-10-20,TARGET_HIT,2025-10-20,3920.0,
NESTLEIND,2025-10-20,TARGET_HIT,2025-10-20,1285.300048828125,
NOIDATOLL,2025-10-20,TARGET_HIT,2025-10-20,4.429999828338623,
NPST,2025-10-20,TARGET_HIT,2025-10-20,1943.300048828125,
NRAIL,2025-10-20,TARGET_HIT,2025-10-20,464.4500122070313,
NSIL,2025-10-20,TARGET_HIT,2025-10-20,8295.0,
NURECA,2025-10-20,TARGET_HIT,2025-10-20,328.5400085449219,
OAL,2025-10-20,TARGET_HIT,2025-10-20,339.45001220703125,
OBEROIRLTY,2025-10-20,TARGET_HIT,2025-10-20,1687.0999755859375,
ONMOBILE,2025-10-20,TARGET_HIT,2025-10-20,70.37999725341797,
ONWARDTEC,2025-10-20,TARGET_HIT,2025-10-20,308.3999938964844,
ORCHASP,2025-10-20,TARGET_HIT,2025-10-20,3.7699999809265137,
ORIENTLTD,2025-10-20,TARGET_HIT,2025-10-20,92.9499969482422,
ORTEL,2025-10-20,TARGET_HIT,2025-10-20,1.950000047683716,
ORTINGLOBE,2025-10-20,TARGET_HIT,2025-10-20,11.989999771118164,
PALASHSECU,2025-10-20,TARGET_HIT,2025-10-20,119.75,
PANACEABIO,2025-10-20,TARGET_HIT,2025-10-20,434.3999938964844,
PARAGMILK,2025-10-20,TARGET_HIT,2025-10-20,301.6000061035156,
PARSVNATH,2025-10-20,TARGET_HIT,2025-10-20,16.25,
PASHUPATI,2025-10-20,TARGET_HIT,2025-10-20,755.75,
PAYTM,2025-10-20,TARGET_HIT,2025-10-20,1296.300048828125,
PERSISTENT,2025-10-20,TARGET_HIT,2025-10-20,5849.39990234375,
PGHL,2025-10-20,TARGET_HIT,2025-10-20,6249.0,
PHOENIXLTD,2025-10-20,TARGET_HIT,2025-10-20,1667.4000244140625,
PIDILITIND,2025-10-20,TARGET_HIT,2025-10-20,1534.0,
PILANIINVS,2025-10-20,TARGET_HIT,2025-10-20,5839.5,
PNB,2025-10-20,TARGET_HIT,2025-10-20,119.08000183105467,
POCL,2025-10-20,TARGET_HIT,2025-10-20,1401.5,
PPAP,2025-10-20,TARGET_HIT,2025-10-20,261.0,
PREMIER,2025-10-20,TARGET_HIT,2025-10-20,3.7100000381469727,
PREMIERENE,2025-10-20,TARGET_HIT,2025-10-20,1041.0,
PRESTIGE,2025-10-20,TARGET_HIT,2025-10-20,1716.9000244140625,
PRITI,2025-10-20,TARGET_HIT,2025-10-20,78.9000015258789,
PRIVISCL,2025-10-20,TARGET_HIT,2025-10-20,2875.0,
PSB,2025-10-20,TARGET_HIT,2025-10-20,31.170000076293945,
PTCIL,2025-10-20,TARGET_HIT,2025-10-20,17004.0,
PTL,2025-10-20,TARGET_HIT,2025-10-20,40.0099983215332,
PUNJABCHEM,2025-10-20,TARGET_HIT,2025-10-20,1352.0,
PVSL,2025-10-20,TARGET_HIT,2025-10-20,145.32000732421875,
QUICKHEAL,2025-10-20,TARGET_HIT,2025-10-20,325.1499938964844,
RACE,2025-10-20,TARGET_HIT,2025-10-20,229.0,
RADICO,2025-10-20,TARGET_HIT,2025-10-20,3231.699951171875,
RAJRATAN,2025-10-20,TARGET_HIT,2025-10-20,365.0,
RAMAPHO,2025-10-20,TARGET_HIT,2025-10-20,161.5500030517578,
RAMCOSYS,2025-10-20,TARGET_HIT,2025-10-20,570.9500122070312,
RBLBANK,2025-10-20,TARGET_HIT,2025-10-20,324.95001220703125,
REGENCERAM,2025-10-20,TARGET_HIT,2025-10-20,45.47999954223633,
RELIABLE,2025-10-20,TARGET_HIT,2025-10-20,136.47999572753906,
RELIANCE,2025-10-20,TARGET_HIT,2025-10-20,1467.800048828125,
REPCOHOME,2025-10-20,TARGET_HIT,2025-10-20,403.5499877929688,
ROSSARI,2025-10-20,TARGET_HIT,2025-10-20,659.0999755859375,
SALASAR,2025-10-20,TARGET_HIT,2025-10-20,9.350000381469728,
SALONA,2025-10-20,TARGET_HIT,2025-10-20,272.0,
SALSTEEL,2025-10-20,TARGET_HIT,2025-10-20,32.34000015258789,
SAMBHAAV,2025-10-20,TARGET_HIT,2025-10-20,8.34000015258789,
SAMMAANCAP,2025-10-20,TARGET_HIT,2025-10-20,170.9499969482422,
SAMPANN,2025-10-20,TARGET_HIT,2025-10-20,32.5,
SANDHAR,2025-10-20,TARGET_HIT,2025-10-20,515.0,
SANDUMA,2025-10-20,TARGET_HIT,2025-10-20,223.009994506836,
SANGINITA,2025-10-20,TARGET_HIT,2025-10-20,10.539999961853027,
SBC,2025-10-20,TARGET_HIT,2025-10-20,23.299999237060547,
SBFC,2025-10-20,TARGET_HIT,2025-10-20,111.30999755859376,
SBGLP,2025-10-20,TARGET_HIT,2025-10-20,35.5,
SBICARD,2025-10-20,TARGET_HIT,2025-10-20,937.8499755859376,
SBIN,2025-10-20,TARGET_HIT,2025-10-20,907.1500244140624,
SCI,2025-10-20,TARGET_HIT,2025-10-20,226.3999938964844,
SELMC,2025-10-20,TARGET_HIT,2025-10-20,39.34000015258789,
SENORES,2025-10-20,TARGET_HIT,2025-10-20,728.2999877929688,
SGFIN,2025-10-20,TARGET_HIT,2025-10-20,373.1499938964844,
SHAH,2025-10-20,TARGET_HIT,2025-10-20,4.260000228881836,
SHALPAINTS,2025-10-20,TARGET_HIT,2025-10-20,81.5,
