datetime,adj_close,adj_close.1,adj_close.2,close,close.1,close.2,high,high.1,high.2,low,low.1,low.2,open,open.1,open.2,volume,volume.1,volume.2,symbol,month
2025-10-01 03:45:00+00:00,382.7000122070313,858.7999877929688,745.5,382.7000122070313,858.7999877929688,745.5,383.7000122070313,860.8499755859375,748.0,381.2000122070313,856.0999755859375,742.25,383.2999877929688,858.7999877929688,744.9500122070312,0.0,0.0,0.0,INDIANB,2025-10
2025-10-01 03:50:00+00:00,382.1000061035156,860.4500122070312,745.4500122070312,382.1000061035156,860.4500122070312,745.4500122070312,382.9500122070313,862.9500122070312,747.9000244140625,382.0,858.4000244140625,744.5999755859375,382.6000061035156,858.7999877929688,744.9000244140625,3291.0,2372.0,60201.0,INDIANB,2025-10
2025-10-01 03:55:00+00:00,382.8999938964844,862.8499755859375,744.7000122070312,382.8999938964844,862.8499755859375,744.7000122070312,382.8999938964844,863.25,745.9000244140625,381.75,859.5499877929688,743.25,382.3500061035156,860.5499877929688,745.5,2114.0,1636.0,60645.0,INDIANB,2025-10
2025-10-01 04:00:00+00:00,382.7999877929688,865.9500122070312,743.5999755859375,382.7999877929688,865.9500122070312,743.5999755859375,383.3999938964844,866.5,745.7999877929688,382.7000122070313,863.2999877929688,743.25,383.2999877929688,863.2999877929688,744.7000122070312,758.0,2082.0,62214.0,INDIANB,2025-10
2025-10-01 04:05:00+00:00,382.7999877929688,871.2999877929688,743.2999877929688,382.7999877929688,871.2999877929688,743.2999877929688,383.1499938964844,873.3499755859375,744.5,382.7999877929688,865.0,742.9000244140625,383.1000061035156,865.2999877929688,743.4000244140625,310.0,4692.0,28135.0,INDIANB,2025-10
2025-10-01 04:10:00+00:00,383.3500061035156,869.0,745.0,383.3500061035156,869.0,745.0,383.5,872.0,746.2000122070312,383.1499938964844,869.0,743.4000244140625,383.1499938964844,872.0,743.4000244140625,1716.0,9766.0,51628.0,INDIANB,2025-10
2025-10-01 04:15:00+00:00,382.7000122070313,872.0,745.7000122070312,382.7000122070313,872.0,745.7000122070312,383.2999877929688,872.7999877929688,745.7000122070312,382.5,869.0,743.8499755859375,383.2999877929688,869.0,744.4500122070312,1124.0,7350.0,24668.0,INDIANB,2025-10
2025-10-01 04:20:00+00:00,381.7000122070313,867.3499755859375,744.2999877929688,381.7000122070313,867.3499755859375,744.2999877929688,382.2000122070313,872.5499877929688,745.75,381.5499877929688,866.0,744.0,382.2000122070313,872.0,745.7000122070312,2705.0,4339.0,12047.0,INDIANB,2025-10
2025-10-01 04:25:00+00:00,381.8500061035156,866.7000122070312,744.7999877929688,381.8500061035156,866.7000122070312,744.7999877929688,382.0,867.5999755859375,745.5,381.7000122070313,865.9000244140625,744.2999877929688,382.0,867.5999755859375,744.7999877929688,826.0,2196.0,15067.0,INDIANB,2025-10
2025-10-01 04:30:00+00:00,381.1000061035156,859.0999755859375,744.3499755859375,381.1000061035156,859.0999755859375,744.3499755859375,381.75,866.5,747.75,381.1000061035156,859.0999755859375,744.0,381.5499877929688,866.5,745.5,1194.0,12032.0,36585.0,INDIANB,2025-10
