datetime,adj_close,adj_close,adj_close,close,close,close,high,high,high,low,low,low,open,open,open,volume,volume,volume,symbol,month
2025-09-01 03:45:00+00:00,676.5,405.95001220703125,1180.0,676.5,405.95001220703125,1180.0,676.5,407.5,1184.300048828125,667.1500244140625,402.95001220703125,1171.0,667.1500244140625,402.95001220703125,1171.0,0.0,0.0,0.0,GMMPFAUDLR,2025-09
2025-09-01 03:50:00+00:00,676.5499877929688,408.3500061035156,1176.0999755859375,676.5499877929688,408.3500061035156,1176.0999755859375,679.2000122070312,409.3500061035156,1179.5,676.5,405.8999938964844,1172.4000244140625,677.7999877929688,406.0,1177.4000244140625,647.0,76740.0,687.0,GMMPFAUDLR,2025-09
2025-09-01 03:55:00+00:00,676.4000244140625,410.79998779296875,1173.300048828125,676.4000244140625,410.79998779296875,1173.300048828125,676.5499877929688,410.79998779296875,1177.800048828125,676.4000244140625,407.3999938964844,1173.300048828125,676.5499877929688,408.29998779296875,1176.0999755859375,0.0,76791.0,217.0,GMMPFAUDLR,2025-09
2025-09-01 04:00:00+00:00,675.0,411.0,1177.9000244140625,675.0,411.0,1177.9000244140625,676.4000244140625,411.3999938964844,1179.9000244140625,674.9500122070312,410.0,1173.9000244140625,676.4000244140625,410.6499938964844,1173.9000244140625,16.0,43796.0,881.0,GMMPFAUDLR,2025-09
2025-09-01 04:05:00+00:00,677.2000122070312,412.0,1175.5,677.2000122070312,412.0,1175.5,677.2000122070312,412.5,1179.9000244140625,675.2000122070312,410.8999938964844,1173.5,676.1500244140625,411.0,1177.9000244140625,34.0,58092.0,1430.0,GMMPFAUDLR,2025-09
2025-09-01 04:10:00+00:00,678.4500122070312,420.45001220703125,1176.0999755859375,678.4500122070312,420.45001220703125,1176.0999755859375,678.4500122070312,421.75,1177.300048828125,677.4000244140625,411.79998779296875,1175.199951171875,677.4000244140625,412.0,1175.4000244140625,151.0,370137.0,252.0,GMMPFAUDLR,2025-09
2025-09-01 04:15:00+00:00,678.9000244140625,424.04998779296875,1177.9000244140625,678.9000244140625,424.04998779296875,1177.9000244140625,678.9000244140625,424.70001220703125,1177.9000244140625,677.2999877929688,420.1000061035156,1175.0,677.2999877929688,420.20001220703125,1175.9000244140625,48.0,351079.0,194.0,GMMPFAUDLR,2025-09
2025-09-01 04:20:00+00:00,680.0,427.5,1177.0,680.0,427.5,1177.0,680.0,430.95001220703125,1178.0,677.5,423.8999938964844,1175.5,677.5,424.29998779296875,1177.800048828125,162.0,608400.0,223.0,GMMPFAUDLR,2025-09
2025-09-01 04:25:00+00:00,678.9500122070312,426.6499938964844,1177.4000244140625,678.9500122070312,426.6499938964844,1177.4000244140625,680.9000244140625,428.0,1178.199951171875,678.9500122070312,425.5,1176.0999755859375,680.6500244140625,427.5,1176.0999755859375,49.0,201602.0,109.0,GMMPFAUDLR,2025-09
2025-09-01 04:30:00+00:00,679.5999755859375,427.3500061035156,1177.199951171875,679.5999755859375,427.3500061035156,1177.199951171875,680.9500122070312,428.20001220703125,1178.300048828125,678.5,425.5,1176.800048828125,680.0,426.8999938964844,1177.199951171875,267.0,161565.0,674.0,GMMPFAUDLR,2025-09
2025-09-01 04:35:00+00:00,676.6500244140625,424.6000061035156,1176.300048828125,676.6500244140625,424.6000061035156,1176.300048828125,679.5999755859375,429.8999938964844,1178.5,676.6500244140625,423.6499938964844,1176.300048828125,679.5999755859375,427.1499938964844,1178.0,76.0,361264.0,333.0,GMMPFAUDLR,2025-09
2025-09-01 04:40:00+00:00,677.0499877929688,423.75,1177.5,677.0499877929688,423.75,1177.5,677.0499877929688,424.95001220703125,1177.9000244140625,676.2000122070312,423.6499938964844,1176.300048828125,677.0499877929688,424.70001220703125,1176.300048828125,45.0,119693.0,37.0,GMMPFAUDLR,2025-09
2025-09-01 04:45:00+00:00,676.0499877929688,425.1499938964844,1176.300048828125,676.0499877929688,425.1499938964844,1176.300048828125,677.0499877929688,425.1499938964844,1178.4000244140625,676.0499877929688,423.1000061035156,1176.300048828125,677.0499877929688,423.95001220703125,1177.5,144.0,133475.0,136.0,GMMPFAUDLR,2025-09
2025-09-01 04:50:00+00:00,679.4500122070312,423.1000061035156,1178.0,679.4500122070312,423.1000061035156,1178.0,680.8499755859375,424.8500061035156,1178.0,676.25,421.54998779296875,1175.300048828125,677.8499755859375,424.8500061035156,1177.5,1182.0,84318.0,180.0,GMMPFAUDLR,2025-09
2025-09-01 04:55:00+00:00,679.25,426.29998779296875,1178.0,679.25,426.29998779296875,1178.0,679.25,426.70001220703125,1178.0,679.25,423.0,1177.199951171875,679.25,423.04998779296875,1177.199951171875,1.0,116598.0,239.0,GMMPFAUDLR,2025-09
