date,open,high,low,close,adj_close,volume,symbol
2002-07-29,6.599999904632568,6.599999904632568,5.650000095367432,5.900000095367432,5.587279319763184,40040,OSWALGREEN
2002-07-30,6.050000190734863,6.199999809265137,5.75,5.800000190734863,5.492579460144043,33426,OSWALGREEN
2002-07-31,5.449999809265137,6.099999904632568,5.449999809265137,5.900000095367432,5.587279319763184,36053,OSWALGREEN
2002-08-01,6.0,6.300000190734863,5.75,5.949999809265137,5.634628772735596,20491,OSWALGREEN
2002-08-02,5.900000095367432,5.949999809265137,5.800000190734863,5.849999904632568,5.539928913116455,17340,OSWALGREEN
2002-08-05,7.0,7.0,5.900000095367432,6.0,5.681978702545166,11891,OSWALGREEN
2002-08-06,6.099999904632568,6.199999809265137,5.849999904632568,6.099999904632568,5.776678085327148,16568,OSWALGREEN
2002-08-07,6.5,6.5,6.099999904632568,6.199999809265137,5.871377944946289,17974,OSWALGREEN
2002-08-08,5.949999809265137,6.050000190734863,5.949999809265137,6.0,5.681978702545166,14723,OSWALGREEN
2002-08-09,5.75,6.0,5.75,5.849999904632568,5.539928913116455,10938,OSWALGREEN
2002-08-12,5.849999904632568,6.0,5.849999904632568,5.949999809265137,5.634628772735596,2926,OSWALGREEN
2002-08-13,5.949999809265137,6.0,5.849999904632568,5.900000095367432,5.587279319763184,7115,OSWALGREEN
2002-08-14,5.900000095367432,6.0,5.550000190734863,5.599999904632568,5.30318021774292,47661,OSWALGREEN
2002-08-15,5.599999904632568,5.599999904632568,5.599999904632568,5.599999904632568,5.30318021774292,0,OSWALGREEN
2002-08-16,5.699999809265137,5.699999809265137,5.550000190734863,5.650000095367432,5.35053014755249,15572,OSWALGREEN
2002-08-19,5.599999904632568,5.650000095367432,5.400000095367432,5.599999904632568,5.30318021774292,13870,OSWALGREEN
2002-08-20,5.699999809265137,5.699999809265137,5.300000190734863,5.449999809265137,5.161130428314209,8204,OSWALGREEN
2002-08-21,5.449999809265137,5.550000190734863,5.400000095367432,5.550000190734863,5.25583028793335,11550,OSWALGREEN
2002-08-22,5.599999904632568,5.599999904632568,5.400000095367432,5.449999809265137,5.161130428314209,9961,OSWALGREEN
2002-08-23,5.400000095367432,5.400000095367432,5.099999904632568,5.300000190734863,5.019081592559815,11135,OSWALGREEN
2002-08-26,5.349999904632568,5.400000095367432,5.199999809265137,5.300000190734863,5.019081592559815,19895,OSWALGREEN
2002-08-27,5.199999809265137,5.400000095367432,5.150000095367432,5.25,4.971731185913086,13037,OSWALGREEN
2002-08-28,5.75,5.75,5.050000190734863,5.050000190734863,4.782332420349121,15023,OSWALGREEN
2002-08-29,5.099999904632568,5.099999904632568,4.900000095367432,5.0,4.734982490539551,23175,OSWALGREEN
2002-08-30,5.0,5.099999904632568,4.949999809265137,5.050000190734863,4.782332420349121,11772,OSWALGREEN
2002-09-02,4.900000095367432,5.199999809265137,4.900000095367432,5.150000095367432,4.877031803131104,9650,OSWALGREEN
2002-09-03,5.0,5.199999809265137,4.800000190734863,4.849999904632568,4.59293270111084,33113,OSWALGREEN
2002-09-04,4.849999904632568,4.900000095367432,4.800000190734863,4.800000190734863,4.545583248138428,14714,OSWALGREEN
2002-09-05,4.800000190734863,4.849999904632568,4.650000095367432,4.75,4.498233318328857,13290,OSWALGREEN
2002-09-06,4.75,4.849999904632568,4.75,4.75,4.498233318328857,10840,OSWALGREEN
2002-09-09,4.599999904632568,4.75,4.449999809265137,4.650000095367432,4.403533458709717,15408,OSWALGREEN
2002-09-10,4.650000095367432,4.650000095367432,4.650000095367432,4.650000095367432,4.403533458709717,0,OSWALGREEN
2002-09-11,4.5,4.75,4.5,4.550000190734863,4.308834075927734,4840,OSWALGREEN
2002-09-12,4.550000190734863,4.650000095367432,4.5,4.599999904632568,4.3561835289001465,11602,OSWALGREEN
2002-09-13,4.800000190734863,4.800000190734863,4.599999904632568,4.699999809265137,4.450882911682129,12782,OSWALGREEN
