datetime,adj_close,adj_close,adj_close,close,close,close,high,high,high,low,low,low,open,open,open,volume,volume,volume,symbol,month
2025-09-01 03:45:00+00:00,209.75,459.45001220703125,27.68000030517578,209.75,459.45001220703125,27.68000030517578,212.25,465.8999938964844,27.8799991607666,208.7624969482422,457.5,27.5,212.25,465.8999938964844,27.5,0.0,0.0,0.0,SHIVALIK,2025-09
2025-09-01 03:50:00+00:00,207.75,457.5,27.75,207.75,457.5,27.75,208.75,463.70001220703125,27.75,207.5,457.5,27.690000534057617,208.75,460.45001220703125,27.690000534057617,905.0,1056.0,215.0,SHIVALIK,2025-09
2025-09-01 03:55:00+00:00,207.5500030517578,457.20001220703125,27.75,207.5500030517578,457.20001220703125,27.75,208.0625,458.3999938964844,27.75,207.27499389648438,455.6499938964844,27.700000762939453,208.0625,456.45001220703125,27.700000762939453,1819.0,555.0,293.0,SHIVALIK,2025-09
2025-09-01 04:00:00+00:00,209.22500610351562,459.95001220703125,27.75,209.22500610351562,459.95001220703125,27.75,210.97500610351562,459.95001220703125,27.770000457763672,207.52499389648438,457.04998779296875,27.75,207.5500030517578,457.04998779296875,27.75,547.0,529.0,16.0,SHIVALIK,2025-09
2025-09-01 04:05:00+00:00,208.75,460.70001220703125,27.829999923706055,208.75,460.70001220703125,27.829999923706055,209.22500610351562,460.70001220703125,27.829999923706055,208.75,459.70001220703125,27.799999237060547,209.22500610351562,459.79998779296875,27.799999237060547,53.0,37.0,203.0,SHIVALIK,2025-09
2025-09-01 04:10:00+00:00,207.5625,461.25,,207.5625,461.25,,208.75,461.25,,207.5625,458.1499938964844,,207.5625,458.5,,209.0,360.0,,SHIVALIK,2025-09
2025-09-01 04:15:00+00:00,207.5625,459.6000061035156,27.700000762939453,207.5625,459.6000061035156,27.700000762939453,208.72500610351562,460.29998779296875,27.700000762939453,207.53750610351562,459.3999938964844,27.700000762939453,207.53750610351562,459.3999938964844,27.700000762939453,76.0,381.0,814.0,SHIVALIK,2025-09
2025-09-01 04:20:00+00:00,208.25,460.04998779296875,27.729999542236328,208.25,460.04998779296875,27.729999542236328,208.72500610351562,460.3999938964844,27.729999542236328,208.25,459.79998779296875,27.700000762939453,208.72500610351562,460.3999938964844,27.700000762939453,346.0,219.0,176.0,SHIVALIK,2025-09
2025-09-01 04:25:00+00:00,209.10000610351562,459.0,27.979999542236328,209.10000610351562,459.0,27.979999542236328,209.10000610351562,460.0,28.479999542236328,208.375,458.8500061035156,27.979999542236328,208.375,460.0,27.979999542236328,104.0,605.0,3006.0,SHIVALIK,2025-09
2025-09-01 04:30:00+00:00,208.8000030517578,459.0,28.229999542236328,208.8000030517578,459.0,28.229999542236328,209.0749969482422,459.0,28.25,208.5625,459.0,27.969999313354492,208.5625,459.0,27.969999313354492,35.0,16.0,1421.0,SHIVALIK,2025-09
2025-09-01 04:35:00+00:00,208.8000030517578,457.0,28.43000030517578,208.8000030517578,457.0,28.43000030517578,209.22500610351562,458.1499938964844,28.8799991607666,208.78750610351562,457.0,28.0,209.22500610351562,458.1499938964844,28.040000915527344,28.0,534.0,14618.0,SHIVALIK,2025-09
2025-09-01 04:40:00+00:00,208.8000030517578,457.0,27.979999542236328,208.8000030517578,457.0,27.979999542236328,208.8000030517578,457.0,28.440000534057617,208.75,457.0,27.920000076293945,208.75,457.0,28.440000534057617,50.0,5.0,7150.0,SHIVALIK,2025-09
2025-09-01 04:45:00+00:00,208.25,457.0,27.979999542236328,208.25,457.0,27.979999542236328,208.75,458.3500061035156,28.0,208.25,457.0,27.979999542236328,208.75,458.3500061035156,28.0,135.0,79.0,1017.0,SHIVALIK,2025-09
2025-09-01 04:50:00+00:00,207.625,457.70001220703125,28.0,207.625,457.70001220703125,28.0,208.0,457.70001220703125,28.0,207.625,456.45001220703125,27.829999923706055,208.0,457.0,27.93000030517578,200.0,162.0,1679.0,SHIVALIK,2025-09
2025-09-01 04:55:00+00:00,207.52499389648438,457.95001220703125,28.0,207.52499389648438,457.95001220703125,28.0,207.64999389648438,457.95001220703125,28.0,207.52499389648438,457.95001220703125,28.0,207.64999389648438,457.95001220703125,28.0,439.0,98.0,2618.0,SHIVALIK,2025-09
2025-09-01 05:00:00+00:00,208.8000030517578,,27.989999771118164,208.8000030517578,,27.989999771118164,208.8000030517578,,27.989999771118164,207.52499389648438,,27.940000534057617,207.5625,,27.940000534057617,119.0,,0.0,SHIVALIK,2025-09
2025-09-01 05:05:00+00:00,207.75,,28.010000228881836,207.75,,28.010000228881836,208.8000030517578,,28.010000228881836,207.75,,27.959999084472656,208.8000030517578,,27.959999084472656,152.0,,2266.0,SHIVALIK,2025-09
2025-09-01 05:10:00+00:00,208.8000030517578,458.45001220703125,28.0,208.8000030517578,458.45001220703125,28.0,208.8000030517578,458.45001220703125,28.0,208.8000030517578,458.45001220703125,27.959999084472656,208.8000030517578,458.45001220703125,28.0,0.0,130.0,5864.0,SHIVALIK,2025-09
2025-09-01 05:15:00+00:00,208.6750030517578,,28.0,208.6750030517578,,28.0,208.8000030517578,,28.0,207.75,,28.0,208.8000030517578,,28.0,194.0,,0.0,SHIVALIK,2025-09
2025-09-01 05:20:00+00:00,208.6750030517578,458.20001220703125,28.010000228881836,208.6750030517578,458.20001220703125,28.010000228881836,208.8000030517578,458.95001220703125,28.010000228881836,208.6750030517578,458.20001220703125,28.010000228881836,208.8000030517578,458.95001220703125,28.010000228881836,86.0,104.0,302.0,SHIVALIK,2025-09
2025-09-01 05:25:00+00:00,208.6875,458.0,,208.6875,458.0,,208.6875,458.20001220703125,,207.5500030517578,458.0,,207.6750030517578,458.20001220703125,,134.0,212.0,,SHIVALIK,2025-09
2025-09-01 05:30:00+00:00,208.5,457.45001220703125,,208.5,457.45001220703125,,208.8000030517578,458.5,,208.5,457.45001220703125,,208.6875,458.5,,77.0,43.0,,SHIVALIK,2025-09
2025-09-01 05:35:00+00:00,208.75,458.6000061035156,28.079999923706055,208.75,458.6000061035156,28.079999923706055,209.97500610351562,458.6000061035156,28.079999923706055,207.52499389648438,458.6000061035156,28.0,208.5,458.6000061035156,28.0,1852.0,2.0,1200.0,SHIVALIK,2025-09
2025-09-01 05:40:00+00:00,208.75,457.1000061035156,28.079999923706055,208.75,457.1000061035156,28.079999923706055,209.25,458.3500061035156,28.079999923706055,208.75,457.1000061035156,28.0,209.25,458.3500061035156,28.0,192.0,61.0,1443.0,SHIVALIK,2025-09
2025-09-01 05:45:00+00:00,207.52499389648438,458.0,28.09000015258789,207.52499389648438,458.0,28.09000015258789,209.25,458.0,28.09000015258789,207.52499389648438,458.0,28.09000015258789,209.25,458.0,28.09000015258789,490.0,9.0,0.0,SHIVALIK,2025-09
2025-09-01 05:50:00+00:00,209.22500610351562,459.0,,209.22500610351562,459.0,,209.22500610351562,459.0,,207.52499389648438,459.0,,207.52499389648438,459.0,,190.0,263.0,,SHIVALIK,2025-09
2025-09-01 05:55:00+00:00,207.53750610351562,458.0,28.09000015258789,207.53750610351562,458.0,28.09000015258789,209.1999969482422,458.5,28.09000015258789,207.52499389648438,458.0,28.09000015258789,209.1999969482422,458.5,28.09000015258789,540.0,60.0,2.0,SHIVALIK,2025-09
2025-09-01 06:00:00+00:00,209.1999969482422,457.1000061035156,27.829999923706055,209.1999969482422,457.1000061035156,27.829999923706055,209.1999969482422,457.1000061035156,27.829999923706055,207.53750610351562,457.04998779296875,27.829999923706055,207.53750610351562,457.04998779296875,27.829999923706055,70.0,67.0,975.0,SHIVALIK,2025-09
2025-09-01 06:05:00+00:00,207.625,,,207.625,,,209.125,,,207.625,,,209.125,,,95.0,,,SHIVALIK,2025-09
2025-09-01 06:10:00+00:00,210.0,457.95001220703125,27.90999984741211,210.0,457.95001220703125,27.90999984741211,210.0,458.0,27.90999984741211,208.75,457.0,27.90999984741211,208.75,458.0,27.90999984741211,955.0,131.0,35.0,SHIVALIK,2025-09
2025-09-01 06:15:00+00:00,210.0,,,210.0,,,210.0124969482422,,,210.0,,,210.0124969482422,,,212.0,,,SHIVALIK,2025-09
2025-09-01 06:20:00+00:00,210.0,457.29998779296875,,210.0,457.29998779296875,,210.0124969482422,459.0,,209.25,457.25,,209.25,457.25,,757.0,102.0,,SHIVALIK,2025-09
2025-09-01 06:25:00+00:00,210.0,,,210.0,,,210.0,,,209.25,,,210.0,,,486.0,,,SHIVALIK,2025-09
2025-09-01 06:30:00+00:00,210.02499389648438,455.0,28.059999465942383,210.02499389648438,455.0,28.059999465942383,210.02499389648438,458.79998779296875,28.139999389648438,210.0,455.0,28.059999465942383,210.0,458.79998779296875,28.059999465942383,195.0,691.0,2179.0,SHIVALIK,2025-09
2025-09-01 06:35:00+00:00,210.02499389648438,455.0,28.18000030517578,210.02499389648438,455.0,28.18000030517578,210.22500610351562,455.0,28.18000030517578,210.02499389648438,455.0,28.18000030517578,210.02499389648438,455.0,28.18000030517578,357.0,47.0,111.0,SHIVALIK,2025-09
2025-09-01 06:40:00+00:00,210.0,456.95001220703125,,210.0,456.95001220703125,,210.02499389648438,457.6000061035156,,210.0,456.95001220703125,,210.02499389648438,457.6000061035156,,0.0,157.0,,SHIVALIK,2025-09
2025-09-01 06:45:00+00:00,210.0,,28.06999969482422,210.0,,28.06999969482422,210.0,,28.06999969482422,210.0,,28.06999969482422,210.0,,28.06999969482422,152.0,,29.0,SHIVALIK,2025-09
2025-09-01 06:50:00+00:00,210.0,,,210.0,,,210.22500610351562,,,210.0,,,210.0,,,127.0,,,SHIVALIK,2025-09
2025-09-01 06:55:00+00:00,210.1999969482422,457.0,27.959999084472656,210.1999969482422,457.0,27.959999084472656,210.21249389648438,457.3500061035156,27.959999084472656,210.0,457.0,27.959999084472656,210.0,457.3500061035156,27.959999084472656,63.0,26.0,650.0,SHIVALIK,2025-09
2025-09-01 07:00:00+00:00,210.0,456.0,27.969999313354492,210.0,456.0,27.969999313354492,210.0,456.95001220703125,27.969999313354492,210.0,455.0,27.969999313354492,210.0,456.95001220703125,27.969999313354492,23.0,341.0,350.0,SHIVALIK,2025-09
2025-09-01 07:05:00+00:00,210.0,456.0,28.190000534057617,210.0,456.0,28.190000534057617,210.0,456.0,28.190000534057617,210.0,456.0,28.149999618530273,210.0,456.0,28.149999618530273,50.0,0.0,100.0,SHIVALIK,2025-09
2025-09-01 07:10:00+00:00,207.625,456.0,28.149999618530273,207.625,456.0,28.149999618530273,210.0,457.29998779296875,28.190000534057617,207.625,456.0,28.149999618530273,210.0,457.29998779296875,28.190000534057617,510.0,340.0,184.0,SHIVALIK,2025-09
2025-09-01 07:15:00+00:00,210.1875,,,210.1875,,,210.1875,,,209.25,,,209.25,,,881.0,,,SHIVALIK,2025-09
2025-09-01 07:20:00+00:00,209.25,455.0,28.25,209.25,455.0,28.25,209.25,456.45001220703125,28.25,209.25,455.0,28.149999618530273,209.25,456.3500061035156,28.149999618530273,13.0,350.0,763.0,SHIVALIK,2025-09
2025-09-01 07:25:00+00:00,210.1875,454.0,28.190000534057617,210.1875,454.0,28.190000534057617,210.1875,454.5,28.190000534057617,210.1875,452.54998779296875,28.190000534057617,210.1875,454.25,28.190000534057617,74.0,309.0,378.0,SHIVALIK,2025-09
2025-09-01 07:30:00+00:00,210.0,454.54998779296875,28.469999313354492,210.0,454.54998779296875,28.469999313354492,210.0,454.54998779296875,28.469999313354492,209.25,454.54998779296875,28.190000534057617,209.25,454.54998779296875,28.25,52.0,8.0,2931.0,SHIVALIK,2025-09
2025-09-01 07:35:00+00:00,209.25,454.8999938964844,28.100000381469727,209.25,454.8999938964844,28.100000381469727,210.25,455.0,28.290000915527344,209.25,453.79998779296875,27.600000381469727,210.0,455.0,28.290000915527344,1313.0,331.0,5354.0,SHIVALIK,2025-09
2025-09-01 07:40:00+00:00,209.25,454.45001220703125,,209.25,454.45001220703125,,210.5,454.45001220703125,,209.25,454.1000061035156,,209.25,454.1000061035156,,430.0,19.0,,SHIVALIK,2025-09
2025-09-01 07:45:00+00:00,,453.04998779296875,28.079999923706055,,453.04998779296875,28.079999923706055,,454.0,28.100000381469727,,453.04998779296875,28.079999923706055,,454.0,28.100000381469727,,293.0,318.0,SHIVALIK,2025-09
2025-09-01 07:50:00+00:00,209.375,453.3500061035156,28.110000610351562,209.375,453.3500061035156,28.110000610351562,210.6750030517578,454.45001220703125,28.139999389648438,209.25,453.04998779296875,28.110000610351562,210.6750030517578,453.04998779296875,28.139999389648438,439.0,0.0,55.0,SHIVALIK,2025-09
2025-09-01 07:55:00+00:00,209.375,454.45001220703125,,209.375,454.45001220703125,,209.375,454.45001220703125,,209.375,453.1499938964844,,209.375,453.25,,39.0,36.0,,SHIVALIK,2025-09
2025-09-01 08:00:00+00:00,211.375,454.0,,211.375,454.0,,211.5,454.0,,209.375,454.0,,209.375,454.0,,508.0,1178.0,,SHIVALIK,2025-09
2025-09-01 08:05:00+00:00,211.75,454.95001220703125,,211.75,454.95001220703125,,211.75,455.3500061035156,,211.375,454.95001220703125,,211.375,455.3500061035156,,228.0,0.0,,SHIVALIK,2025-09
2025-09-01 08:10:00+00:00,212.0,455.25,28.110000610351562,212.0,455.25,28.110000610351562,212.0,455.25,28.110000610351562,211.3874969482422,455.25,28.100000381469727,211.6750030517578,455.25,28.100000381469727,227.0,12.0,112.0,SHIVALIK,2025-09
