datetime,adj_close,close,high,low,open,volume,symbol,month
2025-10-01 03:45:00+00:00,8897.0,8897.0,8952.5,8897.0,8952.5,0,TASTYBITE,2025-10
2025-10-01 03:50:00+00:00,8860.0,8860.0,8890.0,8859.0,8890.0,11,TASTYBITE,2025-10
2025-10-01 03:55:00+00:00,8887.5,8887.5,8887.5,8880.0,8880.0,1,TASTYBITE,2025-10
2025-10-01 04:00:00+00:00,8879.0,8879.0,8880.0,8879.0,8880.0,6,TASTYBITE,2025-10
2025-10-01 04:05:00+00:00,8904.0,8904.0,8904.0,8879.5,8879.5,95,TASTYBITE,2025-10
2025-10-01 04:10:00+00:00,8915.5,8915.5,8932.0,8909.5,8909.5,24,TASTYBITE,2025-10
2025-10-01 04:15:00+00:00,8923.5,8923.5,8923.5,8900.0,8909.0,3,TASTYBITE,2025-10
2025-10-01 04:20:00+00:00,8923.0,8923.0,8923.0,8923.0,8923.0,53,TASTYBITE,2025-10
2025-10-01 04:25:00+00:00,8929.0,8929.0,8929.0,8911.0,8923.0,0,TASTYBITE,2025-10
2025-10-01 04:30:00+00:00,8929.0,8929.0,8929.0,8929.0,8929.0,9,TASTYBITE,2025-10
2025-10-01 04:35:00+00:00,8914.0,8914.0,8930.0,8914.0,8930.0,14,TASTYBITE,2025-10
2025-10-01 04:40:00+00:00,8922.0,8922.0,8922.0,8922.0,8922.0,1,TASTYBITE,2025-10
2025-10-01 04:45:00+00:00,8931.5,8931.5,8931.5,8931.5,8931.5,0,TASTYBITE,2025-10
2025-10-01 04:50:00+00:00,8896.5,8896.5,8929.0,8896.5,8917.5,20,TASTYBITE,2025-10
2025-10-01 04:55:00+00:00,8896.0,8896.0,8901.0,8880.5,8880.5,10,TASTYBITE,2025-10
2025-10-01 05:00:00+00:00,8901.0,8901.0,8901.0,8901.0,8901.0,2,TASTYBITE,2025-10
2025-10-01 05:05:00+00:00,8923.0,8923.0,8923.0,8923.0,8923.0,1,TASTYBITE,2025-10
2025-10-01 05:10:00+00:00,8901.0,8901.0,8915.0,8901.0,8915.0,16,TASTYBITE,2025-10
2025-10-01 05:15:00+00:00,8910.0,8910.0,8910.0,8909.5,8909.5,2,TASTYBITE,2025-10
2025-10-01 05:25:00+00:00,8901.0,8901.0,8909.5,8901.0,8909.0,4,TASTYBITE,2025-10
2025-10-01 05:40:00+00:00,8924.5,8924.5,8928.0,8924.5,8928.0,8,TASTYBITE,2025-10
2025-10-01 05:45:00+00:00,8924.5,8924.5,8924.5,8924.5,8924.5,0,TASTYBITE,2025-10
2025-10-01 05:55:00+00:00,8893.0,8893.0,8893.0,8851.0,8851.0,64,TASTYBITE,2025-10
