date,open,high,low,close,adj_close,volume,symbol
2024-06-26,12.699999809265137,13.335000038146973,12.699999809265137,13.335000038146973,13.335000038146973,33485540,AFIL
2024-06-27,13.399999618530272,13.399999618530272,12.66800022125244,12.66800022125244,12.66800022125244,16139280,AFIL
2024-06-28,12.034000396728516,12.034000396728516,12.034000396728516,12.034000396728516,12.034000396728516,821660,AFIL
2024-07-01,11.432000160217283,12.295000076293944,11.432000160217283,11.564000129699709,11.564000129699709,9139800,AFIL
2024-07-02,11.5,11.5,10.984999656677246,10.984999656677246,10.984999656677246,4206520,AFIL
2024-07-03,10.4350004196167,11.534000396728516,10.4350004196167,11.354999542236328,11.354999542236328,6212170,AFIL
2024-07-04,11.39900016784668,11.39900016784668,10.90999984741211,11.008999824523926,11.008999824523926,2582750,AFIL
2024-07-05,11.008999824523926,11.18000030517578,10.640000343322754,11.085000038146973,11.085000038146973,1553020,AFIL
2024-07-08,11.184000015258787,11.395000457763672,10.880999565124512,11.244999885559082,11.244999885559082,1465000,AFIL
2024-07-09,11.199999809265137,11.380000114440918,11.0,11.204999923706056,11.204999923706056,861810,AFIL
2024-07-10,11.5,11.890000343322754,10.710000038146973,11.286999702453612,11.286999702453612,5131140,AFIL
2024-07-11,11.4399995803833,11.470000267028809,11.0,11.088000297546388,11.088000297546388,2253500,AFIL
2024-07-12,11.100000381469728,11.100000381469728,10.800000190734863,10.833999633789062,10.833999633789062,1950900,AFIL
2024-07-15,10.755000114440918,10.979999542236328,9.880000114440918,10.04800033569336,10.04800033569336,7695200,AFIL
2024-07-16,10.199999809265137,10.295000076293944,10.104999542236328,10.156999588012695,10.156999588012695,1574990,AFIL
2024-07-18,10.279999732971191,10.324999809265137,9.630000114440918,9.72599983215332,9.72599983215332,3933620,AFIL
2024-07-19,9.725000381469728,9.859999656677246,9.270999908447266,9.461000442504885,9.461000442504885,3792990,AFIL
2024-07-22,9.404999732971191,11.352999687194824,9.404999732971191,10.868000030517578,10.868000030517578,26999600,AFIL
2024-07-23,10.866000175476074,11.300000190734863,10.80500030517578,11.086000442504885,11.086000442504885,12168620,AFIL
2024-07-24,11.24899959564209,12.54699993133545,11.086000442504885,11.916000366210938,11.916000366210938,25746250,AFIL
2024-07-25,11.890000343322754,12.19499969482422,11.699999809265137,11.880000114440918,11.880000114440918,7208350,AFIL
2024-07-26,11.99899959564209,12.244999885559082,11.434000015258787,11.652999877929688,11.652999877929688,4265950,AFIL
2024-07-29,11.74899959564209,12.098999977111816,11.449999809265137,11.937999725341797,11.937999725341797,2902750,AFIL
2024-07-30,12.187999725341797,12.300000190734863,11.630000114440918,11.911999702453612,11.911999702453612,4082060,AFIL
2024-07-31,12.06999969482422,12.3100004196167,11.619999885559082,11.741000175476074,11.741000175476074,2955460,AFIL
2024-08-01,11.774999618530272,11.883999824523926,11.156000137329102,11.23900032043457,11.23900032043457,1772730,AFIL
2024-08-02,11.151000022888184,11.401000022888184,11.022000312805176,11.326000213623049,11.326000213623049,3132480,AFIL
2024-08-05,10.210000038146973,11.220000267028809,10.210000038146973,10.70300006866455,10.70300006866455,2278260,AFIL
2024-08-06,11.175000190734863,11.175000190734863,10.40999984741211,10.541999816894531,10.541999816894531,1048520,AFIL
2024-08-07,10.649999618530272,10.984000205993652,10.565999984741213,10.925999641418455,10.925999641418455,754590,AFIL
2024-08-08,11.050000190734863,11.050000190734863,10.25,10.380000114440918,10.380000114440918,1715240,AFIL
2024-08-09,10.6899995803833,10.690999984741213,10.125,10.324000358581545,10.324000358581545,1652850,AFIL
2024-08-12,10.149999618530272,10.489999771118164,10.149999618530272,10.36400032043457,10.36400032043457,835270,AFIL
