datetime,adj_close,adj_close,close,close,high,high,low,low,open,open,volume,volume,symbol,month
2025-09-01 03:45:00+00:00,173.00999450683594,550.0,173.00999450683594,550.0,178.89999389648438,550.0,173.00999450683594,550.0,178.89999389648438,550.0,0.0,6.0,MANOMAY,2025-09
2025-09-01 03:50:00+00:00,169.00999450683594,,169.00999450683594,,169.00999450683594,,166.52999877929688,,166.52999877929688,,596.0,,MANOMAY,2025-09
2025-09-01 03:55:00+00:00,173.91000366210938,,173.91000366210938,,173.91000366210938,,173.91000366210938,,173.91000366210938,,2.0,,MANOMAY,2025-09
2025-09-01 04:00:00+00:00,172.02999877929688,,172.02999877929688,,172.02999877929688,,172.02999877929688,,172.02999877929688,,56.0,,MANOMAY,2025-09
2025-09-01 04:05:00+00:00,,555.0,,555.0,,555.0,,555.0,,555.0,,20.0,MANOMAY,2025-09
2025-09-01 04:10:00+00:00,171.00999450683594,,171.00999450683594,,171.00999450683594,,171.00999450683594,,171.00999450683594,,2.0,,MANOMAY,2025-09
2025-09-01 04:20:00+00:00,171.50999450683594,,171.50999450683594,,172.32000732421875,,171.50999450683594,,172.32000732421875,,80.0,,MANOMAY,2025-09
2025-09-01 04:25:00+00:00,172.99000549316406,,172.99000549316406,,172.99000549316406,,172.99000549316406,,172.99000549316406,,0.0,,MANOMAY,2025-09
2025-09-01 04:30:00+00:00,171.02000427246094,560.0,171.02000427246094,560.0,171.72999572753906,560.0,171.02000427246094,560.0,171.72999572753906,560.0,41.0,100.0,MANOMAY,2025-09
2025-09-01 04:35:00+00:00,171.5,,171.5,,171.5,,171.5,,171.5,,60.0,,MANOMAY,2025-09
2025-09-01 04:55:00+00:00,171.0,,171.0,,171.49000549316406,,171.0,,171.49000549316406,,40.0,,MANOMAY,2025-09
2025-09-01 05:00:00+00:00,170.9199981689453,,170.9199981689453,,170.9199981689453,,169.08999633789062,,170.7100067138672,,318.0,,MANOMAY,2025-09
2025-09-01 05:05:00+00:00,170.88999938964844,550.0,170.88999938964844,550.0,170.88999938964844,550.0,170.88999938964844,550.0,170.88999938964844,550.0,0.0,25.0,MANOMAY,2025-09
