datetime,adj_close,close,high,low,open,volume,symbol,month
2025-10-01 03:45:00+00:00,170.8000030517578,170.8000030517578,172.10000610351562,170.07000732421875,172.10000610351562,0,AURUM,2025-10
2025-10-01 03:50:00+00:00,170.36000061035156,170.36000061035156,170.91000366210938,169.74000549316406,170.33999633789062,7478,AURUM,2025-10
2025-10-01 03:55:00+00:00,170.4199981689453,170.4199981689453,170.67999267578125,169.63999938964844,170.3000030517578,4430,AURUM,2025-10
2025-10-01 04:00:00+00:00,170.08999633789062,170.08999633789062,170.50999450683594,170.0800018310547,170.41000366210938,7529,AURUM,2025-10
2025-10-01 04:05:00+00:00,169.0,169.0,170.44000244140625,169.0,170.08999633789062,5817,AURUM,2025-10
2025-10-01 04:10:00+00:00,169.3000030517578,169.3000030517578,169.83999633789062,168.64999389648438,168.7100067138672,6129,AURUM,2025-10
2025-10-01 04:15:00+00:00,170.0,170.0,170.19000244140625,169.27000427246094,169.27000427246094,3927,AURUM,2025-10
2025-10-01 04:20:00+00:00,169.1999969482422,169.1999969482422,169.75,169.1999969482422,169.6999969482422,2132,AURUM,2025-10
2025-10-01 04:25:00+00:00,168.7899932861328,168.7899932861328,169.52000427246094,168.7899932861328,169.22000122070312,1438,AURUM,2025-10
2025-10-01 04:30:00+00:00,168.1999969482422,168.1999969482422,169.05999755859375,168.1999969482422,169.00999450683594,1202,AURUM,2025-10
2025-10-01 04:35:00+00:00,167.52000427246094,167.52000427246094,168.0500030517578,167.47999572753906,168.0399932861328,4122,AURUM,2025-10
2025-10-01 04:40:00+00:00,168.24000549316406,168.24000549316406,168.24000549316406,167.5500030517578,167.7100067138672,1390,AURUM,2025-10
2025-10-01 04:45:00+00:00,168.22999572753906,168.22999572753906,168.25,168.1199951171875,168.1199951171875,1100,AURUM,2025-10
2025-10-01 04:50:00+00:00,168.6699981689453,168.6699981689453,168.6699981689453,168.0,168.10000610351562,3908,AURUM,2025-10
2025-10-01 04:55:00+00:00,168.4199981689453,168.4199981689453,168.66000366210938,168.1199951171875,168.1199951171875,5715,AURUM,2025-10
2025-10-01 05:00:00+00:00,168.9600067138672,168.9600067138672,168.9600067138672,168.4600067138672,168.4600067138672,623,AURUM,2025-10
2025-10-01 05:05:00+00:00,169.3000030517578,169.3000030517578,169.3000030517578,168.72999572753906,169.13999938964844,1276,AURUM,2025-10
2025-10-01 05:10:00+00:00,168.9499969482422,168.9499969482422,168.9499969482422,168.80999755859375,168.80999755859375,630,AURUM,2025-10
2025-10-01 05:15:00+00:00,169.2899932861328,169.2899932861328,169.2899932861328,169.0,169.22999572753906,423,AURUM,2025-10
2025-10-01 05:20:00+00:00,169.25,169.25,169.25,169.25,169.25,20,AURUM,2025-10
2025-10-01 05:25:00+00:00,169.27999877929688,169.27999877929688,169.27999877929688,169.27999877929688,169.27999877929688,86,AURUM,2025-10
2025-10-01 05:30:00+00:00,169.4499969482422,169.4499969482422,169.4499969482422,169.4499969482422,169.4499969482422,9,AURUM,2025-10
2025-10-01 05:35:00+00:00,169.49000549316406,169.49000549316406,169.49000549316406,169.19000244140625,169.49000549316406,441,AURUM,2025-10
2025-10-01 05:40:00+00:00,169.14999389648438,169.14999389648438,169.49000549316406,169.14999389648438,169.25,125,AURUM,2025-10
2025-10-01 05:45:00+00:00,169.24000549316406,169.24000549316406,169.33999633789062,168.77000427246094,169.1199951171875,1532,AURUM,2025-10
2025-10-01 05:50:00+00:00,169.10000610351562,169.10000610351562,169.10000610351562,168.77999877929688,168.77999877929688,506,AURUM,2025-10
2025-10-01 06:00:00+00:00,168.64999389648438,168.64999389648438,169.0,168.0,169.0,2824,AURUM,2025-10
2025-10-01 06:05:00+00:00,168.36000061035156,168.36000061035156,168.8000030517578,168.32000732421875,168.8000030517578,1981,AURUM,2025-10
2025-10-01 06:10:00+00:00,168.36000061035156,168.36000061035156,168.72000122070312,168.3300018310547,168.72000122070312,1223,AURUM,2025-10
2025-10-01 06:15:00+00:00,169.0,169.0,169.1699981689453,168.50999450683594,168.72999572753906,1802,AURUM,2025-10
2025-10-01 06:20:00+00:00,168.92999267578125,168.92999267578125,169.10000610351562,168.92999267578125,169.0,161,AURUM,2025-10
2025-10-01 06:25:00+00:00,169.4199981689453,169.4199981689453,169.5,169.0,169.0,807,AURUM,2025-10
2025-10-01 06:35:00+00:00,169.36000061035156,169.36000061035156,169.36000061035156,169.36000061035156,169.36000061035156,2,AURUM,2025-10
2025-10-01 06:40:00+00:00,169.57000732421875,169.57000732421875,169.57000732421875,169.3800048828125,169.3800048828125,691,AURUM,2025-10
2025-10-01 06:45:00+00:00,169.52999877929688,169.52999877929688,169.52999877929688,169.52999877929688,169.52999877929688,0,AURUM,2025-10
2025-10-01 06:50:00+00:00,168.47000122070312,168.47000122070312,168.47000122070312,168.47000122070312,168.47000122070312,1637,AURUM,2025-10
2025-10-01 06:55:00+00:00,169.07000732421875,169.07000732421875,169.07000732421875,168.3000030517578,168.32000732421875,551,AURUM,2025-10
2025-10-01 07:05:00+00:00,168.4499969482422,168.4499969482422,168.60000610351562,168.4499969482422,168.60000610351562,1441,AURUM,2025-10
2025-10-01 07:10:00+00:00,168.63999938964844,168.63999938964844,168.94000244140625,168.63999938964844,168.6699981689453,702,AURUM,2025-10
2025-10-01 07:15:00+00:00,168.5,168.5,168.5,168.30999755859375,168.5,238,AURUM,2025-10
2025-10-01 07:25:00+00:00,168.4600067138672,168.4600067138672,168.50999450683594,168.4600067138672,168.50999450683594,164,AURUM,2025-10
